Mask,SN,X_n (m) (m),Y_n (m) (m),POMKH,cv_rabi_96_3-POMKH-Krig,cv_rabi_96_3-POMKH-Var,kme,ev,ratio
0,223,631637.7774,3415821.762,13.32,11.83714155,3.39191904,1.482858447,2.198869174,0.648266998
0,224,649968.6092,3421360.457,3.75,5.997543144,2.96606035,-2.247543144,5.051450184,1.703084087
0,225,646863.9467,3425074.261,6.3,4.35089435,3.12966497,1.94910565,3.799012835,1.213872051
0,226,640574.2168,3449009.596,2.88,3.103405692,3.07628864,-0.223405692,0.049910103,0.016224129
0,227,656370.2971,3401188.398,6.25,6.562996097,3.43988389,-0.312996097,0.097966557,0.028479611
0,228,651135.3854,3395108.352,11.35,8.599420948,3.65493449,2.750579052,7.565685121,2.069991991
0,229,651432.5933,3411742.029,5.97,6.257327397,3.60649309,-0.287327397,0.082557033,0.022891222
0,230,676975.6934,3385800.863,2.14,5.236214209,4.25549918,-3.096214209,9.586542428,2.252742163
0,231,662536.0795,3389269.275,2.88,6.028296432,3.02604117,-3.148296432,9.911770424,3.275490936
0,232,572364.9938,3314712.705,6.25,5.430039135,4.33823332,0.819960865,0.67233582,0.154979175
0,233,576472.3301,3302119.48,4.49,6.132525568,3.89132933,-1.642525568,2.697890242,0.693308125
0,234,565543.1297,3312515.473,4.09,5.245888982,3.41806856,-1.155888982,1.336079339,0.390887226
0,235,597619.0038,3292895.923,6.56,8.796679798,2.97055554,-2.236679798,5.002736519,1.684108057
0,236,584219.0924,3393452.546,8.05,8.496219363,4.59596032,-0.446219363,0.19911172,0.043323203
0,237,594753.2544,3298258.341,9.11,6.362406258,3.62654089,2.747593742,7.549271371,2.081672757
0,238,598561.9982,3439604.203,7.75,6.916180877,3.92019802,0.833819123,0.69525433,0.177351839
0,239,595686.4523,3449892.512,6.48,7.156713697,3.64337228,-0.676713697,0.457941428,0.125691637
0,240,607337.1643,3436610.464,5.57,9.339494396,3.48724311,-3.769494396,14.209088,4.074590602
0,241,606995.7904,3444150.834,11.26,8.505106074,3.34312109,2.754893926,7.589440544,2.270166213
0,242,624046.0885,3435869.132,11.96,10.15352374,4.73934519,1.806476265,3.263356496,0.688566957
0,243,499206.6463,3458694.151,8.3,9.549009273,4.56270019,-1.249009273,1.560024164,0.341908102
0,244,499999.9985,3472086.16,8.34,9.498431119,4.40399678,-1.158431119,1.341962657,0.304714723
0,245,511082.7573,3481635.956,8.05,8.001184239,4.00203151,0.048815761,0.002382979,0.000595442
0,246,492069.5385,3462853.243,8.77,8.787297281,4.75012831,-0.017297281,0.000299196,6.29869E-05
0,247,509508.6513,3471628.685,10.86,8.161770988,4.40029171,2.698229012,7.280439801,1.654535717
0,248,466259.7479,3451821.319,8.54,6.233196926,10.8475886,2.306803074,5.321340422,0.490555147
0,249,509223.0219,3342490.242,8.2,6.670658359,4.19987021,1.529341641,2.338885855,0.556894794
0,250,500000.0033,3356830.463,6.85,5.89449953,3.86272022,0.95550047,0.912981148,0.236357048
0,251,523231.9242,3354823.617,6.88,6.80627811,3.07737509,0.07372189,0.005434917,0.001766089
0,252,523223.0661,3358979.157,6.23,7.816019805,3.09693674,-1.586019805,2.515458822,0.812240944
0,253,512808.3599,3362655.757,7.15,7.215437754,2.29336049,-0.065437754,0.0042821,0.001867173
0,254,506427.8485,3322173.033,8.7,8.098276809,4.11876815,0.601723191,0.362070799,0.087907546
0,255,516093.412,3305869.519,7.35,6.208178896,4.98709756,1.141821104,1.303755434,0.261425693
0,256,522891.0153,3326196.365,4.64,5.26664521,3.82809261,-0.62664521,0.392684219,0.102579603
0,257,480857.4933,3326343.123,9.57,8.768157625,3.56842588,0.801842375,0.642951194,0.18017782
0,258,503216.0555,3314784.424,9.62,8.592143642,4.23323225,1.027856358,1.056488693,0.249570217
0,259,517395.7038,3330495.604,6.06,6.345241041,3.32664539,-0.285241041,0.081362451,0.024457807
0,260,479664.9121,3332963.105,8.41,7.366242269,3.32672413,1.043757731,1.089430201,0.327478372
0,261,468026.5998,3333298.6,7.14,6.322713962,4.3537546,0.817286038,0.667956468,0.153420789
0,262,523801.0792,3338664.553,6.91,6.164724271,4.2740731,0.745275729,0.555435912,0.129954706
0,263,479149.4115,3343275.73,4.47,6.906009731,4.17738089,-2.436009731,5.93414341,1.420541618
0,264,491319.7113,3352647.623,3.8,6.499842705,4.36127952,-2.699842705,7.289150632,1.671333057
0,265,479788.4527,3356356.693,7.57,3.520954185,4.55508585,4.049045815,16.39477201,3.599223495
0,266,512809.9902,3361270.571,7.41,7.099695618,2.28549214,0.310304382,0.096288809,0.042130449
0,267,491879.2575,3386507.63,5.43,5.220866929,4.48487561,0.209133071,0.043736641,0.00975203
0,268,471429.6729,3406090.09,4.57,3.488517299,3.60908827,1.081482701,1.169604833,0.324072105
0,269,450142.796,3400780.676,1.55,3.781264974,5.84001993,-2.231264974,4.978543384,0.852487396
